Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-241.4432	-311.0744	69.63123	0.0129862	0.0761278	0.00403311	0.0114891	0.0273629	0.0140132	0.0171084	0.0349625	0.0270529	0.0189459	0.00371416	0.0109659	0.00743789	0.0154426	0.0181387	0.00342097	0.00165043	0.0242125	0.0135409	0.0129837	0.00858486	0.0116543	0.00632977	0.0330652	0.0327669	0.00350457	0.00263321	0.0447557	0.0936048	0.0143609	0.0722254	0.0271497	0.0138134	0.00142748	0.10566	0.0202818	0.00894733	0.00952682	0.00408393	0.057866	0.0136888	0.024052	0.00392971	0.0140807	0.00045129	0.0323336	0.0388126	0.0188692	0.0445328	0.0996077	1.43219	0.145637	0.390774	0.745913	1.34064	2.55902	6.86637	1.393091	0.03338365	0.0116095	0.0680574	0.00360556	0.0102711	0.0244621	0.0125276	0.0152947	0.0312561	0.0241849	0.0169374	0.00332042	0.00980338	0.00664939	0.0138055	0.0162158	0.00305831	0.00147547	0.0216457	0.0121054	0.0116073	0.00767477	0.0104188	0.00565874	0.0295599	0.0292932	0.00313305	0.00235406	0.0400111	0.0836816	0.0128385	0.0645687	0.0242716	0.012349	0.00127615	0.0944589	0.0181317	0.00799881	0.00851686	0.00365099	0.0517316	0.0122376	0.0215022	0.00351312	0.012588	0.000403448	0.0289059	0.034698	0.0168689	0.0398119	0.06461	0.93539	0.06460999	1.118582
36	-236.1843	-305.7246	69.54026	0.0347188	0.0626273	0.00342975	0.0194214	0.0645413	0.036419	0.00103043	0.00571341	0.0255273	0.0270272	0.00483424	0.0047196	0.00991103	0.000636042	0.0297204	0.00387673	0.0440797	0.00781959	0.0452431	0.00402432	0.00317147	0.00689503	0.00859103	0.00382552	0.0411512	0.00317583	0.00244951	0.00698736	0.00061179	0.0173446	0.0575608	0.0190951	0.0286801	0.00220659	0.000605571	0.0167428	0.0267263	0.00408769	0.0453067	0.000291452	0.181861	0.000209814	0.00439169	0.0324693	0.0207039	0.0127287	0.0317298	0.00527509	0.033993	0.0486484	1.45665	0.109943	0.340702	0.714677	1.39923	2.93512	9.09563	1.596387	0.0160308	0.0329341	0.059408	0.00325345	0.0184231	0.0612236	0.034547	0.000977461	0.00541972	0.0242151	0.0256379	0.00458575	0.004477	0.00940157	0.000603347	0.0281926	0.00367745	0.0418138	0.00741763	0.0429174	0.00381745	0.00300845	0.0065406	0.00814942	0.00362887	0.0390359	0.00301259	0.0023236	0.00662818	0.000580342	0.0164531	0.054602	0.0181135	0.0272058	0.00209316	0.000574443	0.0158822	0.0253524	0.00387757	0.0429778	0.00027647	0.172512	0.000199029	0.00416595	0.0308003	0.0196397	0.0120744	0.0300988	0.00500393	0.0322457	0.115364	0.884636	0.1153638	1.054189
72	-241.3276	-310.1854	68.85781	0.0511695	0.156971	0.0412107	0.0638677	0.151835	0.045229	0.00295644	0.0441243	0.0120658	0.0316323	0.00931113	0.0357069	0.0667905	0.0171504	0.0959304	0.0883805	0.00191155	0.0679562	0.0154844	0.0103301	0.0294618	0.0165601	0.0640684	0.0117696	0.0331565	0.0508987	0.0226615	0.0363076	0.0578153	0.0067097	0.00435946	0.0258327	0.0114743	0.00207895	0.00230104	0.0325901	0.0121382	0.0118903	0.00606707	0.194592	0.00556941	0.0117034	0.0290578	0.0676276	0.00233021	0.0162931	0.0505078	0.0121292	0.191285	0.0440639	1.45885	0.25822	0.516685	0.813826	1.22876	1.93542	3.87267	0.9789952	0.0144982	0.0252159	0.0773543	0.0203083	0.0314735	0.0748232	0.0222885	0.00145691	0.0217441	0.00594594	0.0155882	0.00458846	0.0175961	0.0329139	0.00845159	0.0472738	0.0435533	0.000941998	0.0334883	0.00763059	0.00509059	0.0145186	0.00816072	0.0315724	0.00579996	0.0163393	0.0250825	0.0111674	0.0178921	0.028491	0.00330649	0.00214831	0.0127302	0.00565446	0.00102449	0.00113393	0.0160602	0.00598164	0.00585944	0.00298981	0.0958934	0.00274456	0.00576735	0.0143195	0.0333264	0.00114831	0.0080291	0.0248899	0.00597717	0.0942638	0.235199	0.764801	0.2351987	2.029251
108	-243.1761	-313.1843	70.00822	0.0178695	0.0510424	0.00506231	0.00128341	0.0602994	0.00630974	0.00287688	0.0136615	0.00719612	0.0117886	0.00786992	0.00823056	0.0151773	0.00810066	0.0414935	0.00587116	0.00930726	0.0141705	0.0138651	0.00333107	0.00193814	0.00358546	0.0172263	0.0082589	0.0105085	0.0077035	0.0092395	0.0194078	0.000374532	0.009874	0.0058585	0.0100817	0.0405722	0.00330933	0.0212445	0.00607789	0.0119114	0.00909256	0.000184517	0.0703695	0.00859349	0.00629398	0.00205059	0.0122506	0.00634386	0.00813545	0.0187029	0.0117759	0.0416439	0.0690031	1.44688	0.138316	0.381067	0.740082	1.3512	2.62421	7.22984	1.430387	0.0228917	0.0259952	0.0742525	0.00736426	0.001867	0.0877188	0.00917892	0.00418507	0.0198737	0.0104684	0.0171491	0.0114486	0.0119732	0.0220788	0.0117842	0.0603616	0.00854092	0.0135395	0.0206141	0.0201699	0.00484578	0.00281945	0.00521585	0.0250595	0.0120144	0.015287	0.0112065	0.0134409	0.0282329	0.000544841	0.0143639	0.0085225	0.0146661	0.0590213	0.00481416	0.0309048	0.00884164	0.0173278	0.0132272	0.000268422	0.102368	0.0125012	0.009156	0.00298303	0.0178212	0.00922856	0.0118348	0.0272075	0.0171307	0.0605803	0.123204	0.876796	0.1232038	0.6874162
144	-240.0038	-309.9674	69.96358	0.0820943	0.0906774	0.0119042	0.0047339	0.0138603	0.00402609	0.00705971	0.0385965	0.0307778	0.000907861	0.008922	0.0106827	0.0219862	0.00659466	0.0555388	0.0131538	0.0254206	0.0478419	0.00383655	0.00157381	0.000977019	0.0184811	0.0102809	0.0217138	0.0230772	0.0299741	0.00283741	0.013613	0.0062343	0.00529602	0.0476835	0.0199162	0.0129013	0.001678	0.0131531	0.0103335	0.0143389	0.0166615	0.0266698	0.047121	0.0686383	0.00727204	0.00464993	0.00700805	0.00543605	0.0131386	0.00914681	0.0112087	0.00114647	0.0796474	1.44177	0.174647	0.426972	0.766817	1.30409	2.34207	5.72585	1.261749	0.02651655	0.0863445	0.0953721	0.0125205	0.00497899	0.0145778	0.00423453	0.00742521	0.0405947	0.0323713	0.000954863	0.00938392	0.0112357	0.0231245	0.00693609	0.0584142	0.0138348	0.0267367	0.0503188	0.00403517	0.00165529	0.0010276	0.0194379	0.0108132	0.0228379	0.024272	0.0315259	0.00298431	0.0143178	0.00655707	0.00557021	0.0501522	0.0209473	0.0135692	0.00176488	0.013834	0.0108685	0.0150813	0.0175241	0.0280506	0.0495606	0.0721919	0.00764853	0.00489067	0.00737087	0.00571749	0.0138188	0.00962037	0.011789	0.00120583	0.165788	0.834212	0.1657882	0.9507759
180	-240.3039	-309.682	69.37812	0.00214685	0.0285054	0.00299535	0.0051765	0.0336996	0.00916167	0.00120392	0.00664217	0.00145323	0.00294942	0.00921006	0.00364951	0.00430959	0.00195223	0.00949598	0.0130228	0.0113277	0.0174757	0.00582237	0.00111394	0.0111352	0.00267673	0.0161416	0.00150904	0.00266452	0.0122645	0.0116152	0.0102459	0.0063766	0.00704686	0.027861	0.0265308	0.00258753	0.0044979	0.00158103	0.00898458	0.000936474	0.00497211	0.0234872	0.0153642	0.0896507	0.00433695	0.00187395	0.00950812	0.000957894	0.00661258	0.00175127	0.0247992	0.00326377	0.120813	1.42201	0.059298	0.252121	0.650598	1.53705	3.96635	16.864	2.0428	0.04078031	0.00418859	0.0556151	0.00584406	0.0100996	0.0657492	0.0178748	0.0023489	0.0129591	0.0028353	0.00575443	0.0179692	0.00712034	0.00840818	0.00380888	0.018527	0.0254079	0.0221007	0.0340958	0.0113597	0.00217334	0.0217252	0.00522241	0.0314929	0.0029442	0.00519858	0.0239285	0.0226617	0.0199902	0.012441	0.0137487	0.0543579	0.0517626	0.00504837	0.00877558	0.00308466	0.0175293	0.0018271	0.00970078	0.0458245	0.0299761	0.174912	0.00846156	0.00365614	0.0185507	0.00186889	0.0129014	0.00341679	0.0483843	0.00636775	0.13152	0.86848	0.1315202	0.5125473
216	-238.9804	-307.8161	68.83574	0.00134238	0.227692	0.0174483	0.0733722	0.0213238	0.0548218	0.000217388	0.132188	0.072781	0.0124493	0.00934041	0.0437817	0.0270647	0.0206873	0.0377272	0.0350216	0.0229719	0.0377304	0.0193508	0.0067121	0.0105749	0.0184722	0.00207848	0.0309382	0.019337	0.044856	0.0226078	0.0298789	0.070633	0.0285437	0.0359395	0.00336321	0.00929203	0.0798696	0.004302	0.0420895	0.049519	0.0760641	0.0477224	0.135393	0.0483098	0.0320145	0.0515723	0.137827	0.0967271	0.0257667	0.021088	0.0189249	0.00522301	0.0356856	1.46287	0.281422	0.538828	0.824551	1.21278	1.85588	3.55339	0.9167795	0.01170921	0.000647571	0.109839	0.00841712	0.0353951	0.0102867	0.0264462	0.000104869	0.0637679	0.0351099	0.00600559	0.00450585	0.0211205	0.0130561	0.00997962	0.0181998	0.0168946	0.0110818	0.0182013	0.0093349	0.00323794	0.00510138	0.00891106	0.00100267	0.0149247	0.00932825	0.0216387	0.0109061	0.0144137	0.0340737	0.0137696	0.0173374	0.00162243	0.00448251	0.0385294	0.0020753	0.0203041	0.0238882	0.0366936	0.0230215	0.0653139	0.0233048	0.0154439	0.0248787	0.0664884	0.0466615	0.01243	0.0101729	0.00912944	0.0025196	0.318071	0.681929	0.3180713	2.072951
252	-243.5776	-312.9302	69.35264	0.00767058	0.0480976	0.00133777	0.00378919	0.0246061	0.0180854	0.00744024	0.0649788	0.0074464	0.0307026	0.0304198	0.0376952	0.0488634	0.000728584	0.0334397	0.053107	0.0057	0.0367133	0.00297098	0.00234186	0.00935859	0.00414888	0.000999236	0.00189365	0.000842041	0.0161871	0.0309666	0.0208708	0.0279011	0.00633376	0.0453754	0.0303655	0.0169947	0.0182649	0.0318735	0.0165676	0.00782782	0.0040255	0.0166418	0.111287	0.0254054	0.0149934	0.0214739	0.00191861	0.00138623	0.00302926	0.00578324	0.0112925	0.0591174	0.0603918	1.45101	0.0816845	0.294746	0.683089	1.46394	3.39275	12.2422	1.811209	0.01997783	0.00745252	0.0467303	0.00129974	0.00368147	0.0239066	0.0175713	0.00722873	0.0631316	0.00723472	0.0298298	0.0295551	0.0366236	0.0474744	0.000707872	0.0324891	0.0515973	0.00553796	0.0356696	0.00288652	0.00227529	0.00909255	0.00403094	0.000970829	0.00183982	0.000818104	0.0157269	0.0300863	0.0202775	0.0271079	0.0061537	0.0440854	0.0295023	0.0165116	0.0177456	0.0309674	0.0160966	0.00760529	0.00391106	0.0161687	0.108123	0.0246831	0.0145671	0.0208634	0.00186407	0.00134682	0.00294314	0.00561884	0.0109715	0.0574368	0.472316	0.527684	0.472316	1.02926
288	-246.1344	-314.8516	68.71724	0.000389817	0.0100186	0.0011663	0.00289995	0.0015762	0.00822978	0.00119253	0.00814726	0.0102854	0.00478938	0.00562595	0.00557142	0.00294627	0.00388559	0.00363528	0.00283555	0.000347997	0.00531368	0.00216256	0.000221693	0.00332336	0.00129024	0.00214502	0.00354506	0.00224098	0.00168744	0.000226299	0.000565213	0.00676903	0.000176153	0.00699384	0.00176767	0.0102359	0.00202609	0.000666309	0.00210335	0.00504864	0.00285727	0.00706033	0.0103288	0.000332874	0.00653751	0.00178761	0.00143103	0.00606318	0.00260619	0.00127942	0.000189835	0.00760035	0.0212574	1.4698	0.0424061	0.214089	0.618241	1.61749	4.67096	23.5815	2.285232	0.006942155	0.00216413	0.0556199	0.0064749	0.0160996	0.00875056	0.045689	0.00662051	0.0452309	0.0571013	0.026589	0.0312334	0.0309306	0.0163567	0.0215715	0.0201819	0.015742	0.00193196	0.0294998	0.0120058	0.00123077	0.0184502	0.00716296	0.0119084	0.019681	0.0124412	0.00936809	0.00125634	0.00313787	0.0375794	0.000977941	0.0388274	0.00981352	0.056826	0.0112482	0.00369912	0.0116771	0.0280284	0.0158626	0.0391966	0.0573419	0.001848	0.036294	0.00992423	0.00794461	0.0336607	0.0144687	0.0071029	0.0010539	0.0421946	0.252419	0.747581	0.2524188	0.1801261
324	-251.1628	-320.8606	69.69785	0.000400857	0.0260338	0.000113159	0.00633763	0.0168892	0.00595044	0.00755983	0.0142611	0.0140356	0.0120865	0.00251528	0.0231193	0.002119	0.0182552	0.0256528	0.00520102	0.00565682	0.0461507	0.00943105	0.000121795	0.00335264	0.00141709	0.00817465	0.00916781	0.00724674	0.00764496	6.80178e-05	0.00256889	0.00966273	0.00230256	0.0300989	0.00936398	0.00805581	0.0064801	0.00433218	0.0046849	0.00165895	0.0119844	0.0138102	0.0385233	0.00883601	0.00577394	0.00539497	0.00510611	0.0235309	0.00417281	0.00687988	0.00116842	0.0201626	0.122121	1.42138	0.0925251	0.313215	0.696165	1.43644	3.1927	10.8079	1.721103	0.04124025	0.000796116	0.0517041	0.000224738	0.0125868	0.0335426	0.0118178	0.0150141	0.028323	0.0278752	0.0240043	0.00499544	0.0459158	0.00420842	0.0362555	0.0509474	0.0103294	0.0112346	0.0916568	0.0187304	0.000241889	0.00665845	0.00281439	0.0162351	0.0182076	0.0143923	0.0151832	0.000135086	0.00510191	0.0191905	0.00457297	0.0597776	0.0185972	0.0159991	0.0128697	0.00860387	0.00930438	0.00329474	0.0238015	0.0274276	0.0765086	0.0175486	0.0114672	0.0107146	0.0101409	0.0467331	0.00828735	0.0136637	0.00232052	0.0400437	0.113765	0.886235	0.1137648	0.5035157
