Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-240.6388	-310.203	69.56425	0.00125434	0.0436756	0.045766	0.00228435	0.108071	0.0265232	0.0113218	0.01938	0.0584889	0.0160174	0.00486184	0.016518	0.0241461	0.0251474	0.0331551	0.00180342	0.011458	0.0535914	0.0289652	0.0108626	0.0134879	0.00467517	0.000982542	0.017477	0.00421079	0.00462518	0.0178885	0.0178009	0.0201826	0.0104456	0.0186388	0.012758	0.00220788	0.0435742	0.00500552	0.00566658	0.0115068	0.0726716	0.00839947	0.0154551	0.0447103	0.00334959	0.0119767	0.0304362	0.00781916	0.165391	0.0183031	0.00910951	0.00711278	0.0964003	1.43373	0.138234	0.380957	0.740016	1.35132	2.62497	7.2341	1.430813	0.03227403	0.00109153	0.0380066	0.0398256	0.00198784	0.0940439	0.0230805	0.00985223	0.0168645	0.050897	0.0139383	0.00423077	0.014374	0.0210119	0.0218833	0.0288516	0.00156934	0.00997075	0.0466352	0.0252055	0.00945263	0.0117372	0.00406833	0.000855008	0.0152085	0.00366423	0.00402483	0.0155666	0.0154903	0.0175629	0.00908977	0.0162195	0.0111021	0.0019213	0.0379183	0.00435581	0.00493106	0.0100132	0.0632389	0.00730923	0.0134491	0.0389069	0.00291481	0.0104222	0.0264856	0.00680424	0.143923	0.0159273	0.0079271	0.00618955	0.171476	0.828524	0.1714758	1.14916
36	-237.0394	-307.053	70.01353	0.00668223	0.0930528	0.0112311	0.0425414	0.0514681	0.0239906	0.011619	0.0214956	0.0403805	0.0172468	0.00215256	0.019965	0.0169309	0.00351824	0.0114002	0.0022747	0.00542005	0.00947861	0.0011083	0.00156372	0.00698041	0.00087895	0.00175987	0.0146044	0.0135813	0.0307047	0.000563008	0.00122273	0.00225731	0.0140495	0.0146251	0.0131126	0.00157956	0.00956379	0.0360507	3.62014e-05	0.000124647	0.00229741	0.000642517	0.0162013	0.00964206	0.000409544	0.0029967	0.050912	0.000508073	0.0118195	0.00575121	0.0191237	0.0909223	0.048141	1.45689	0.148407	0.394381	0.748055	1.3368	2.53562	6.73823	1.379469	0.01586095	0.00871852	0.121409	0.0146536	0.055505	0.067152	0.0313012	0.0151597	0.028046	0.0526857	0.0225024	0.00280851	0.026049	0.0220902	0.00459036	0.0148742	0.00296787	0.00707171	0.012367	0.00144603	0.00204023	0.00910756	0.00114679	0.00229615	0.0190547	0.0177199	0.0400614	0.000734574	0.00159533	0.00294519	0.0183308	0.0190819	0.0171084	0.0020609	0.0124782	0.0470365	4.7233e-05	0.000162631	0.00299751	0.000838312	0.0211384	0.0125803	0.000534345	0.00390989	0.0664264	0.000662899	0.0154213	0.00750379	0.0249513	0.118629	0.224443	0.775557	0.2244433	0.7664416
72	-239.3872	-308.7419	69.3547	0.0337525	0.00126406	0.00336182	0.00736163	0.00338187	0.00210374	0.00170192	0.0157034	0.00173848	0.011816	0.00383048	0.00335076	0.00661344	0.00111173	0.0121079	0.000685377	0.00267249	0.021367	0.00406274	0.00336352	0.00220364	0.00073904	0.00429472	0.0123491	0.00531083	0.00305383	0.00183138	0.00243657	0.011561	0.00976933	0.00135849	0.0113179	0.0205319	0.00249206	0.00172369	0.0256959	0.000636029	0.00497791	0.00237048	0.00498322	0.0105328	0.00227368	0.0021391	0.000424588	0.00155103	0.00816775	0.00181561	0.00540418	0.00461247	0.137257	1.41412	0.0686375	0.270762	0.665239	1.50322	3.69328	14.5693	1.937041	0.04658992	0.109618	0.0041053	0.0109182	0.0239085	0.0109833	0.00683233	0.00552735	0.0510002	0.00564608	0.0383751	0.0124403	0.0108823	0.0214786	0.00361056	0.0393231	0.00222591	0.00867947	0.0693938	0.0131946	0.0109237	0.0071568	0.00240019	0.013948	0.0401065	0.017248	0.00991796	0.00594779	0.00791328	0.0375468	0.031728	0.004412	0.0367572	0.0666816	0.00809348	0.00559805	0.0834528	0.00206564	0.0161668	0.00769862	0.0161841	0.0342074	0.00738426	0.00694719	0.00137894	0.0050373	0.0265265	0.00589656	0.0175512	0.01498	0.183887	0.816113	0.1838868	0.3079091
108	-232.5669	-302.3638	69.79696	0.054529	0.0471425	0.0107349	0.00148178	0.0181528	0.012586	0.000486507	0.0153286	0.0126719	0.0108082	0.00426042	0.0154281	0.00450508	0.00279319	0.0153861	0.00620209	0.00761561	0.00510415	0.00115338	0.00520973	0.00026671	0.0098197	0.00324953	0.00462913	0.00880759	0.00438989	0.00517668	0.00690964	0.0148413	0.00239247	0.00345662	0.0764998	0.0180273	0.00114916	0.00684346	0.0508351	0.00183375	0.00221121	0.00479279	0.00987066	0.014136	0.00163108	0.0126707	0.00226208	0.0104367	0.00690567	0.0139348	0.00912786	0.0101468	0.0625548	1.44997	0.0960867	0.319038	0.700177	1.42821	3.13442	10.4073	1.693792	0.02070817	0.0958611	0.0828757	0.0188717	0.00260494	0.0319123	0.022126	0.00085527	0.0269475	0.022277	0.0190007	0.00748973	0.0271222	0.00791985	0.00491038	0.0270485	0.0109032	0.0133881	0.00897301	0.00202762	0.00915862	0.000468872	0.0172629	0.00571261	0.00813793	0.0154836	0.00771735	0.0091005	0.012147	0.0260908	0.00420592	0.00607668	0.134485	0.0316916	0.0020202	0.0120307	0.0893671	0.0032237	0.00388727	0.00842563	0.0173524	0.0248507	0.00286742	0.0222748	0.00397669	0.0183475	0.01214	0.0244971	0.0160466	0.0178379	0.0737488	0.926251	0.07374885	0.5688341
144	-248.3177	-317.1617	68.84402	0.209716	0.0647045	0.0161914	0.000368122	0.118049	0.0248973	0.00445991	0.0460735	0.016848	0.0124515	0.0153791	0.0172689	0.0257445	0.0210683	0.0743905	0.00672386	0.00387744	0.0156895	0.00603969	0.0235054	0.0010929	0.0129103	0.00748357	0.0220136	0.0166289	0.0146579	0.0296066	0.0286605	0.0386968	0.0122671	0.0221821	0.0896515	0.00767343	0.00355117	0.017791	0.192788	0.00446029	0.00421566	0.0302645	0.0484397	0.115151	0.0014954	0.0074158	0.0412926	0.00802089	0.00731173	0.00633166	0.0574742	0.0295293	0.19237	1.38766	0.142473	0.38661	0.743424	1.34513	2.58659	7.01888	1.408975	0.06654179	0.130868	0.0403771	0.0101038	0.000229717	0.0736654	0.0155365	0.00278309	0.0287509	0.0105135	0.00777004	0.00959694	0.0107762	0.0160652	0.0131471	0.0464214	0.00419584	0.00241961	0.00979059	0.00376891	0.0146679	0.000681995	0.00805632	0.00466992	0.013737	0.0103768	0.00914688	0.0184752	0.0178848	0.0241477	0.00765498	0.0138421	0.0559446	0.0047884	0.00221601	0.011102	0.120304	0.00278333	0.00263067	0.0188858	0.0302275	0.071857	0.000933163	0.00462763	0.0257676	0.00500522	0.00456269	0.0039511	0.0358652	0.018427	0.204464	0.795536	0.2044639	1.602505
180	-236.4847	-304.7366	68.25189	0.00037276	0.0143853	0.000339558	0.000638994	0.00574717	0.00197408	3.53496e-06	0.00339312	0.00116837	0.00634841	0.000790131	0.00360674	0.00393697	0.000721035	0.00280093	0.00327125	0.000560752	0.00123794	0.000383819	0.000312847	0.000598396	0.00110411	0.00166642	0.00363217	0.000749527	0.00155933	0.00218746	0.00296313	0.00128402	0.00484227	0.00238195	0.00320893	0.000282931	0.00238278	0.00259671	0.000691941	0.00355081	0.00560425	0.00239702	0.00503358	0.00507649	0.000319497	0.000204711	0.00427282	0.00154734	0.0135877	0.000846719	0.000534051	0.000877662	0.10753	1.42839	0.0284826	0.176317	0.581913	1.71847	5.67159	35.1091	2.573012	0.03613492	0.00291268	0.112404	0.00265324	0.00499298	0.0449073	0.0154251	2.76216e-05	0.0265132	0.00912946	0.0496053	0.00617394	0.0281824	0.0307628	0.00563403	0.021886	0.0255609	0.00438161	0.00967306	0.00299909	0.00244453	0.00467575	0.00862731	0.0130211	0.0283811	0.00585667	0.0121843	0.0170924	0.0231533	0.0100331	0.0378366	0.0186121	0.025074	0.00221077	0.0186186	0.0202902	0.0054067	0.0277453	0.0437905	0.0187298	0.0393315	0.0396668	0.00249649	0.00159958	0.033387	0.0120907	0.106172	0.0066161	0.00417298	0.00685789	0.256591	0.743409	0.2565908	0.1279785
216	-244.5539	-314.5125	69.95854	0.00990748	0.0143418	0.00611236	0.00160315	0.0236788	0.00909047	0.0102715	0.0142936	0.00939499	0.0162371	0.0111815	0.00612663	0.0135328	0.00381968	0.018985	0.000924146	0.00610918	0.0205529	0.0136005	0.0030676	0.00237231	0.0114822	0.00484351	4.12536e-05	0.00676365	0.00810456	0.0102052	0.0168217	0.00467793	0.0160311	0.0283014	0.00239789	0.00363768	0.00256016	0.00513149	0.0126426	0.0129211	0.00226669	0.00741129	0.00727733	0.000157391	0.0013656	0.00177228	0.021332	0.00312867	0.00423628	0.00375439	0.0016725	0.0130977	0.0929423	1.43539	0.126185	0.364384	0.729818	1.3702	2.74435	7.92485	1.496755	0.03108031	0.0230815	0.0334121	0.01424	0.00373486	0.0551647	0.0211781	0.0239296	0.0332998	0.0218875	0.0378277	0.0260496	0.0142732	0.0315273	0.00889872	0.0442294	0.00215299	0.0142326	0.0478822	0.0316852	0.00714661	0.00552678	0.0267501	0.0112839	9.61086e-05	0.0157573	0.0188812	0.0237751	0.0391896	0.0108982	0.0373478	0.0659339	0.00558638	0.00847472	0.00596441	0.0119549	0.0294535	0.0301023	0.00528073	0.0172661	0.016954	0.000366675	0.00318145	0.00412888	0.0496973	0.00728888	0.00986928	0.00874661	0.00389644	0.0305137	0.0657451	0.934255	0.06574508	0.4292392
252	-240.2517	-309.551	69.29934	0.00499709	0.00450204	0.00256421	0.000902502	0.0317446	0.00866639	0.000575935	0.00307021	0.0128485	0.00618683	0.00408161	0.00595828	0.00533507	0.00136038	0.0186405	0.00562152	0.00531421	0.00427036	0.0147419	0.0121478	0.000664228	0.00205686	0.00819233	5.11528e-05	0.00641947	0.00231268	0.00166687	0.020449	0.0113964	0.0145921	0.0244492	0.00236671	0.0044078	0.00178816	0.000622099	0.00192822	0.00612045	0.0132419	0.00404258	0.00342641	0.0051258	0.00394106	0.0070889	0.0274438	0.00367674	0.00596037	0.00384934	0.0116911	0.0498464	0.0284307	1.46635	0.0530946	0.238893	0.639751	1.56311	4.18597	18.8343	2.122699	0.009306569	0.0124198	0.0111894	0.00637311	0.00224309	0.0788984	0.0215395	0.00143144	0.00763073	0.0319338	0.0153768	0.0101445	0.0148088	0.0132598	0.0033811	0.0463293	0.0139718	0.013208	0.0106136	0.0366398	0.0301922	0.00165088	0.00511214	0.0203613	0.000127136	0.015955	0.00574796	0.00414285	0.0508242	0.0283248	0.0362673	0.0607662	0.00588223	0.0109552	0.00444432	0.00154617	0.00479241	0.0152118	0.0329116	0.0100475	0.00851604	0.0127397	0.00979515	0.0176188	0.068209	0.00913822	0.014814	0.0095672	0.0290572	0.123889	0.35154	0.64846	0.3515395	0.4023481
288	-230.8219	-300.5237	69.70178	0.104986	0.0488705	0.00602139	0.0261161	0.00768944	0.0121983	0.0293979	0.0716004	0.0191808	0.0262201	0.00106059	0.0263579	0.0191963	0.0048108	0.027824	0.0167667	0.0271375	0.0441799	0.00176417	0.0117156	0.0161705	0.00691631	0.0172916	0.031669	0.00144455	0.000909532	0.0101424	0.0363794	0.0077912	0.0739828	0.0445316	0.0170683	0.00126089	0.00788193	0.0065257	0.020411	0.0387479	0.0026669	0.00729171	0.023193	0.012251	0.0132384	0.0116239	0.01924	0.0136157	0.022518	0.0109852	0.0151453	0.098932	0.0784515	1.44234	0.155206	0.403092	0.75317	1.32772	2.48083	6.44306	1.34708	0.02610801	0.0934934	0.0435209	0.00536226	0.0232573	0.00684772	0.010863	0.0261798	0.0637627	0.0170812	0.0233499	0.000944495	0.0234727	0.017095	0.00428419	0.0247783	0.0149314	0.0241669	0.0393437	0.00157106	0.0104331	0.0144004	0.00615922	0.0153988	0.0282024	0.00128643	0.00080997	0.00903215	0.0323971	0.00693834	0.0658843	0.039657	0.0152	0.00112287	0.00701914	0.00581137	0.0181767	0.0345064	0.00237497	0.00649353	0.0206542	0.01091	0.0117893	0.0103515	0.0171339	0.0121253	0.0200531	0.00978268	0.0134874	0.0881025	0.17655	0.82345	0.1765499	1.12292
324	-248.0529	-317.7147	69.66182	0.0136253	0.0250462	0.000111697	0.0144783	0.0141247	0.0146408	0.0052493	0.0191229	0.0112522	0.00352155	0.000626739	0.00149416	0.013195	0.000393579	0.0229633	0.00349998	0.000625647	0.0138597	0.00249191	0.0108765	0.0024078	0.00477697	0.0255395	0.0234013	0.00594519	0.00390653	0.00243087	0.0229041	0.00572496	0.000739808	0.0175964	0.000306564	0.00343943	0.000760072	0.00477652	0.0127606	0.00564004	0.0081659	0.00858194	0.00866829	0.000568628	0.00309403	0.0020037	0.0323488	0.00277357	0.021562	0.000571823	0.0205344	0.0392448	0.0934634	1.43514	0.0826007	0.296354	0.684249	1.46146	3.37435	12.1064	1.803144	0.03126003	0.0282464	0.0519227	0.000231557	0.0300148	0.0292817	0.0303516	0.0108822	0.0396434	0.0233267	0.00730045	0.00129928	0.0030975	0.0273544	0.000815921	0.0476047	0.00725573	0.00129702	0.0287323	0.00516592	0.0225479	0.00499157	0.00990304	0.0529454	0.0485128	0.0123249	0.00809854	0.00503939	0.0474819	0.0118683	0.00153368	0.0364787	0.000635531	0.00713022	0.00157569	0.0099021	0.0264536	0.0116923	0.0169286	0.017791	0.0179701	0.00117881	0.00641416	0.00415382	0.0670617	0.00574984	0.0446997	0.00118543	0.0425695	0.0813577	0.198405	0.801595	0.1984048	0.4823743
